Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Background,Background,Background,Background
36,2396.2,19394.285,5394.733,5221.133,5034.759,14609.107,5035.419,1357.31,1362.188,1260.828,1335.929
36.5,2273.655,24734.965,4493.033,5747.786,5316.233,12562.434,4448.621,1256.621,1307.438,1296.069,1263.143
37,2370.5,20522.551,4473.759,5146.067,6094.689,9569.934,4211.517,1650.69,1143.594,1273.069,1181.321
37.5,2651.938,17721.902,4558.679,5008.767,4588.467,9306.533,3667.207,1410.897,1346.719,1155.448,1421.857
38,2783.862,19467.467,5537.5,3963.138,3329.406,8045.069,4002.241,1475.219,1202.312,1250.552,1196.429
38.5,2464.828,22802.166,5236.286,3613.367,3001.4,8596.069,3629.931,1377.9,1444.969,1308.552,1240.75
39,2689,20324.801,5399.621,3708.967,3266.724,9408.931,3190.655,1460.033,1263.219,1321.034,1407.429
39.5,3136.655,17255.232,5222.311,3119.966,4218.828,9447.345,2884.567,1461.867,1328.438,1315.759,1207.607
40,2828.567,15362.7,5388.167,3432.464,4903.733,6755.379,2919.933,1403.5,1226.188,1517.966,1288.071
40.5,2704.276,15370.934,5377.906,3686.75,4953.5,10891.482,2793.828,1588.667,1299.531,1410.517,1271.821
41,2069.655,11818.138,5221.9,4023.655,4238.107,9290,2931.438,1452.133,1477.969,1433.897,1339.393
41.5,1860.103,12626.964,4410.517,4832.133,4321.1,9222.6,,1458.7,1513.156,1339.414,1296.75
42,,13205,4857.433,4634.069,5561.625,8736.5,,1523.067,1277.125,1335.448,1376.357
42.5,,12389.725,4944.6,3785,6222.965,10308.931,,1347.2,1237.719,1513.655,1528.75
43,,10302.345,4762.607,4045.828,7955.759,9647.414,,1299.9,1610.438,1440.966,1259.929
43.5,,10933.733,9236.464,3441.344,9484.173,8830.966,,1353.167,1423.969,1351.172,1494.893
44,,13959.7,6402.321,3060.2,8036.7,10258.571,,1430.167,1236.5,1467.966,1299.179
44.5,,13490.634,6351.6,3443.517,6017.4,12021.467,,1552.133,1265.533,1526.967,1211.179
45,,12279.241,6071.689,3833.107,7557.839,10379.434,,1363.9,1260.333,1473.633,1282.929
45.5,,10313.518,5318.484,4730.552,7321.621,10437.7,,1426.633,1112.767,1280.069,1306.464
46,,10113.138,5063.067,5123.655,10813.062,12686.929,,1324.2,1134.967,1364.724,1332.536
46.5,,10753.896,5264.448,5093.467,12813.733,12437.311,,1453.2,1354.567,1517.966,1486.321
47,,9172.689,5383.536,5543.862,,11802.104,,1529.967,1360.167,1487.138,1468.714
47.5,,8971.366,6338.3,4350.633,,,,1505.367,1377.929,1266.931,1325.929
48,,7748.467,6743.552,3490.931,,,,1530.467,1527.7,1331.379,1265.107
48.5,,8378.934,5030.621,4236.321,,,,1567.167,1400.516,1356.69,1227.107
49,,10607.143,,4391.167,,,,1479.867,1370.71,1458.567,1318.75
49.5,,12697.286,,5044.393,,,,1582.233,1142.034,1338.8,1294.75
50,,11989.173,,5858.933,,,,1410.767,1450.448,1429.4,1218.536
50.5,,13505.173,,6711.621,,,,1538.6,1327.172,1523,1397.5
51,,14459.827,,7675.857,,,,1539.767,1551.517,1382.667,1405.464
51.5,,14595.379,,6532.5,,,,1270.1,1227.793,1547.433,1349.393
52,,14622.689,,5711.207,,,,1706.233,1358.312,1292.7,1336.214
52.5,,13345.066,,5875.035,,,,1409.833,1322.625,1586.2,1304.643
53,,5547.207,,5513.138,,,,1394.679,1338.625,1348.833,1236.286
53.5,,4172.138,,6210.071,,,,1665.034,1231.844,1322.767,1281.429
54,,3758.031,,6479.586,,,,1519.103,1278.938,1267.3,1413.75
54.5,,4191.833,,6774.5,,,,1609.828,1238.875,1648.966,1320.643
55,,5403.933,,6287.379,,,,1593.207,1311.812,1404.207,1271.893
55.5,,5945.933,,6388.031,,,,1415.586,1375.344,1524.241,1565
56,,6795.793,,7943.393,,,,1376.276,1508.875,1362.966,1521.25
56.5,,7540.379,,9971.714,,,,1334.929,1396.781,1631.633,1599.071
57,,6440.069,,4595.786,,,,1568.156,1314.5,1355.643,1246.429
57.5,,6938.724,,3500.828,,,,1550.857,1411.812,1294.571,1288.464
58,,6850.379,,2694.1,,,,1373.179,1373.125,1540.567,1439.071
58.5,,6678.367,,2275.172,,,,1585.536,1333.219,1497.967,1329.857
59,,7078.276,,2306.767,,,,1627.862,1235.562,1283.719,1328.071
59.5,,7097.345,,2689.167,,,,1541.483,1241.531,1562.75,1471.393
60,,6071.621,,4258.967,,,,1601.517,1372.188,1204.375,1261.786
60.5,,5131.689,,4883.517,,,,1538.724,1405.531,1619.571,1139.821
61,,4372.7,,4381.281,,,,1635.069,1437.875,1491.964,1505.786
61.5,,4494.069,,3254.414,,,,1513.379,1254.219,1438.964,1262.893
62,,5354.406,,3869.688,,,,1594.276,1438.219,1176.714,1514.931
62.5,,5595.552,,4183.929,,,,1634,1411.5,1366.767,1269.429
63,,5988.931,,3938.69,,,,1504.276,1235.75,1404.69,1384.6
63.5,,5775.931,,4143.833,,,,1502.31,1262.828,1507.071,1508.286
64,,6952.138,,5115.667,,,,1630.862,1361.25,1414.75,1496.071
64.5,,5878.936,,6154.75,,,,1483.931,1457,1390.5,1344.679
65,,4535.586,,6778.138,,,,1708.133,1375.034,1446.323,1409.966
65.5,,4303.3,,7141.035,,,,1714.759,1335.967,1386.241,1467.345
66,,4571.033,,7456.689,,,,1623.833,1379.719,1340.167,1425.897
66.5,,5284.517,,8377.104,,,,1541.531,1409.321,1814.781,1374.138
67,,5493.586,,8553.566,,,,1732.586,1335.107,1447.69,1423.586
67.5,,6400.896,,8601.344,,,,1443,1349.5,1400.69,1777.759
68,,6864.867,,7649.767,,,,1958.586,1486.138,1400.138,1247.828
68.5,,7125.035,,10435.655,,,,1743.897,1384.857,2000.643,1439.828
69,,7701.862,,12279.4,,,,1631.172,1278.9,1747.161,1404.034
69.5,,6425.621,,10086.586,,,,1756.207,1201,1723.667,1437.966
