Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 8,Cell 9,Cell 10,Cell 11,Cell 16,Cell 17,Cell 18,Cell 22,Cell 23,Cell 25,Cell 27,Cell 30,Cell 31,Cell 32,Cell 36,Cell 38,Cell 45,Cell 46,Background,Background,Background,Background
15.5,3946.346,2381.442,3630,3902.132,2820.711,2760.057,3275.789,3398.906,3203.569,2573.596,2874.289,1984.192,2777.962,2261.308,1898.365,1986.923,3375.706,2421.058,1971.404,2513.808,2656.686,1950.641,3536.058,2134.711,1545.556,1755.529,1932.558,1552.673
16,4508.173,2264.192,3508.154,4017.245,3319.923,2259.923,3009.558,3364.135,2928.686,2846.385,3060.135,2177,2431.392,2610.154,2026.538,1767.462,3107.289,2377.654,1833.654,2519.667,2642.453,1934.412,3170.539,2148.863,1677.907,1585.765,1835.731,1457.423
16.5,4257.461,2229.177,2992,3761.654,3522.077,2714.827,2768.882,3287.308,2907.843,2806.769,3035.135,1886.392,2736.346,2678.784,1969.264,1926.231,3436.192,2654.269,2083.923,2498.314,2916.077,1998.792,3529.442,2063.827,1545.815,1576,1762.519,1737.269
17,4456.38,2169.673,2826.49,4331.49,3816.539,2812.211,2964.385,3289.461,2629.5,3076.289,2918.789,2125.154,2817.692,2233.547,1980.731,1854.692,3327,2268.255,2183.082,2556.792,2846.686,1957.962,3001.211,1923.769,1683.407,1612.471,1798.077,1703.288
17.5,4601.039,2264.269,3198.519,3738.235,4056.481,3011.547,2900.528,3538.327,2680.642,2548.365,2701.885,2179.06,2952.615,2363.177,2074.461,1864.077,3167.904,2347.231,2180.365,2747.327,3078.686,1643,2655.925,2122.24,1353.611,1544.608,1727.423,1555.558
18,4534.863,2177.865,3311.471,3755.196,3253.792,2497.333,3447.792,3880.827,2375.24,3221.173,2301.51,2087.308,3024.346,2406.608,1997.961,1961.885,4077.346,2590.558,1875.981,2505.5,2949.731,1862.769,2667.302,2030.327,1675.722,1743.745,1836.321,1617.189
18.5,4057.56,2208.461,3099.264,3336.745,3331.442,2393.327,2936.453,3610.789,2640.944,3152.404,2370,2470.556,2809.404,2300.941,1897.698,2011.765,4530.283,2457.577,2084.596,2639.481,2749.706,1806.712,2987.49,2156.135,1642.056,1574.039,1736.736,1495.02
19,3968.365,2200.096,3212.235,4226.51,3314.539,2416.096,3053.333,3729.615,2445.635,3295.058,2302.623,2769.846,2946.192,2141.863,1957.135,1843.83,3995.528,2661.745,2215.481,2296.111,2701.549,1740.66,3337.726,1908.509,1684.593,1540.431,1756.075,1455.264
19.5,3617.074,2205.118,2865.25,3548.404,2670.843,2714.019,3027.627,3611.731,2574.2,2879.76,2247.75,2239.039,2423.667,2356.547,1827.647,2022.308,4423.558,2707.039,2008.157,2683.444,2667.077,2005.404,3305.588,2058.654,1595.426,1554.706,1872.057,1532.846
20,3457.314,2221.942,2428.588,3794.52,2619.5,2549.857,2649.192,3489.231,2428.25,3350.654,2627.769,2313.558,2336.385,2262.925,1877.627,1944.096,3385.058,2278.434,1914.615,2818.592,2631.642,1875.547,3471.863,1975.519,1546.278,1542.255,1724.686,1647.118
