Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Background,Background,Background,Background
32.5,2173.769,,,2349.808,2207.214,,2230.808,,2168.4,2169.185,2165.48,,2103.115,2130.958,2126.964,2100.822
33,2173.714,,,2320.769,2202.692,,2251.692,,2166.556,2160,2201.074,,2096.231,2125.458,2121.75,2087.393
33.5,2149.692,,,2301.667,2237.917,,2303.25,,2181.769,2174.083,2223.885,,2117.385,2117.458,2129.964,2100.464
34,2156.786,,,2283.16,2240,,2252.385,,2172.259,2179.269,2255.461,,2096.308,2127.083,2122.428,2104.893
34.5,2180.667,,,2302.667,2216.678,,2217.036,,2147.522,2200.167,2251.083,,2104.461,2128.75,2124.464,2087.107
35,2191.322,,,2356.857,2220.923,,2167.893,,2167.692,2215.708,2259.217,,2107.692,2147.077,2130.678,2100.5
35.5,2191.833,,,2349.385,2212.148,,2140.28,,2157.04,2203.519,2267.083,,2104.154,2131.654,2125.5,2103.643
36,2211.542,,,2328.577,2188.667,,2142.52,,2177.217,2155.536,2266.875,,2101,2142.039,2115.178,2101.428
36.5,2207.714,,,2301.231,2172.269,,2147.84,,2173.577,2174.111,2207.815,,2104.077,2141,2134.708,2107.464
37,2195.074,,,2259.808,2153.846,,2137.16,,2184.643,2167.778,,,2108.269,2117.583,2128.167,2104.393
37.5,2187.214,,,2254.846,2140.154,,,,2183.885,2160.692,,,2103.5,2122.708,2125.667,2098.893
38,2200,,,2145.846,,,,,2217.885,2159,,,2102.577,2129.5,2127.542,2087.678
38.5,2176.393,,,2158.269,,,,,2219.458,2160,,,2103.385,2125.714,2128.083,2098.893
39,2128.808,,,2138.846,,,,,,,,,2100.539,2139.214,2116.25,2086.4
39.5,2126.678,,,2146.692,,,,,,,,,2110.077,2129.077,2140.625,2084
40,2142.714,,,2126.192,,,,,,,,,2110.346,2127.333,2124.083,2102.6
40.5,2139.393,,,,,,,,,,,,2105.308,2123.852,2131.917,2104.68
41,2142.678,,,,,,,,,,,,2099.846,2123.889,2112.208,2094.68
41.5,2145.643,,,,,,,,,,,,2097.5,2124.36,2116.792,2094.76
42,2170.178,,,,,,,,,,,,2104.346,2124.8,2120.458,2090.52
42.5,2172.654,,,,,,,,,,,,2101.615,2120.24,2136.708,2097.958
43,2180.192,,,,,,,,,,,,2092.423,2118.458,2107.25,2094.417
43.5,2165.25,,,,,,,,,,,,2099.769,2113.458,2112.917,2089.917
44,2155.75,,,,,,,,,,,,2103.115,2121.917,2117,2099.458
44.5,2152.667,,,,,,,,,,,,2109.615,2119.333,2131.75,2102.417
45,2145,,,,,,,,,,,,2103.692,2121.167,2134.375,2098.625
45.5,2125.769,,,,,,,,,,,,2091.692,2132.875,2123.833,2105.375
46,2124.461,,,,,,,,,,,,2101.192,2112.857,2120.208,2096.875
46.5,,,,,,,,,,,,,2093.731,2120.036,2122.708,2088.042
47,,,,,,,,,,,,,2093.192,2122.654,2111.208,2095.375
47.5,,,,,,,,,,,,,2089.115,2120.96,2108.25,2086.083
48,,,,,,,,,,,,,2097.961,2117.24,2118.167,2090.125
48.5,,,,,,,,,,,,,2092.192,2116.039,2101.25,2078.167
49,,,,,,,,,,,,,2090.269,2126.16,2104.125,2086.792
49.5,,,,,,,,,,,,,2097,2115.115,2130.792,2096.833
50,,,,,,,,,,,,,2098.385,2126.72,2115.125,2098.292
50.5,,,,,,,,,,,,,2101.231,2126.16,2122.542,2106.25
51,,,,,,,,,,,,,2095.923,2119.72,2123.708,2090.042
51.5,,,,,,,,,,,,,2092.231,2107.88,2118.667,2090.875
52,,,,,,,,,,,,,2090.077,2122.346,2109.875,2099.333
52.5,,,,,,,,,,,,,2091.731,2125.577,2117.083,2093.625
53,,,,,,,,,,,,,2088.692,2128.961,2111.333,2087.25
53.5,,,,,,,,,,,,,2090.885,2107.808,2114.875,2088.375
54,,,,,,,,,,,,,2086.077,2117.808,2097.25,2090.708
54.5,,,,,,,,,,,,,2091.5,2117,2107.417,2092.333
55,,,,,,,,,,,,,2097.846,2121,2123.833,2085.417
55.5,,,,,,,,,,,,,2083.461,2107.769,2127.042,2091.667
56,,,,,,,,,,,,,2085.961,2113.231,2111,2090.375
56.5,,,,,,,,,,,,,2096.846,2108.577,2104.833,2092.423
57,,,,,,,,,,,,,2099.731,2135.208,2129.208,2093.481
57.5,,,,,,,,,,,,,2097.461,2139.292,2129.458,2105.259
58,,,,,,,,,,,,,2085.423,2109.039,2109.958,2091.556
58.5,,,,,,,,,,,,,2093.731,2098.461,2110.625,2094.808
59,,,,,,,,,,,,,2095.5,2100.961,2124.833,2088.923
59.5,,,,,,,,,,,,,2088.885,2114.769,2103.792,2086.154
60,,,,,,,,,,,,,2092.961,2117.885,2116.458,2092.308
60.5,,,,,,,,,,,,,2097.192,2119.461,2117.833,2080.615
61,,,,,,,,,,,,,2087.423,2108.393,2112.958,2086.615
61.5,,,,,,,,,,,,,2081.539,2108.928,2115.417,2087.192
62,,,,,,,,,,,,,2091.846,2124.678,2119.375,2089.461
62.5,,,,,,,,,,,,,2098.115,2109.714,2124.208,2096.308
63,,,,,,,,,,,,,2082.539,2124.822,2124.708,2076.539
63.5,,,,,,,,,,,,,2090.539,2108.536,2119.667,2095.615
64,,,,,,,,,,,,,2099.115,2116.428,2106.458,2088.923
64.5,,,,,,,,,,,,,2093.539,2115.572,2114.625,2092.039
65,,,,,,,,,,,,,2093.5,2113.428,2112.833,2096.269
65.5,,,,,,,,,,,,,2093.231,2108.678,2107.167,2084.923
66,,,,,,,,,,,,,2073.269,2095.714,2115.958,2086.461
66.5,,,,,,,,,,,,,2104.077,2118.5,2121.5,2092
67,,,,,,,,,,,,,2106.885,2116.822,2114.333,2093.692
67.5,,,,,,,,,,,,,2096.539,2109.607,2112.083,2085.731
68,,,,,,,,,,,,,2100.615,2134.322,2131.917,2097.808
68.5,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
69.5,,,,,,,,,,,,,,,,
